sampled;knownPopulation;FAM01_DFAGA;FAM01_DFAGAb;FAM03_022206;FAM03_022206b;FAM06_84596;FAM06_84596b;NED07_DCRW4;NED07_DCRW4b;NED08_033740;NED08_033740b;NED09_ESGND;NED09_ESGNDb;VIC12_DMX65;VIC12_DMX65b;VIC13_015521;VIC13_015521b;VIC14_127300;VIC14_127300b;PET15_DLXB1;PET15_DLXB1b;PET16_064797;PET16_064797b;PET17_58859;PET17_58859b
93_Jp_End_104B_P02;3;93;93;169;169;267;267;95;97;135;135;161;165;108;122;187;187;231;246;136;140;207;213;236;236
94_Jp_End_105A_P02;3;93;93;169;169;271;277;97;97;135;135;163;163;108;144;187;197;246;246;138;138;209;209;238;238
01_Jp_End_105B_P03;3;93;95;169;171;259;271;97;97;133;135;154;163;142;144;187;197;236;246;140;140;213;213;236;238
02_Jp_End_105C_P03;3;93;93;169;169;259;271;97;97;133;135;161;163;139;144;187;197;231;246;138;140;209;213;238;238
03_Jp_End_106A_P03;3;91;95;169;169;259;267;97;99;133;135;154;163;128;128;187;197;231;257;138;140;205;205;238;238
04_Jp_End_107A_P03;3;91;93;177;179;259;275;95;95;133;135;161;161;139;144;187;197;236;246;136;140;209;209;236;236
05_Jp_End_108A_P03;3;89;95;169;169;271;271;97;97;133;135;154;161;144;144;189;197;246;246;140;140;205;209;238;238
06_Jp_End_109A_P03;3;91;93;169;169;243;257;95;97;135;135;154;154;108;128;197;199;236;246;136;138;209;209;236;238
07_Jp_End_110A_P03;3;93;93;169;169;245;271;97;97;135;135;154;163;108;122;187;187;246;246;136;140;209;213;236;238
08_Jp_End_111A_P03;3;91;91;169;169;245;245;99;99;135;135;161;161;128;144;187;187;246;246;140;140;213;213;238;238
09_Jp_End_112A_P03;3;95;95;169;169;259;259;95;99;133;135;154;163;122;122;195;195;227;227;140;140;209;213;236;238
